Tweet,Target 1,Stance 1,Opinion Towards,Sentiment,Tweet Id
"@SuzanneEvans1 @Jo_Turandot @LadyTrumpington Many doctors &amp; nurses wear them for hours a day standing up, with bathroom breaks during surgeries. Cowgirl up.
",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.28E+18
"I try to be unbiased in my choice and,. This is why Iâm saying Wear a Mask.

Wearing a mask isnât political or partisan. Itâs common sense and kind to your fellow citizens.
.We all have to do our part to slow the spread of COVID-19.

",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.28E+18
@GOPLeader So 1 out of 10 members of Congress with Covid-19 is a Republican. Doesnât that antidotal added to that tell you something? TheCor the virus doesnât care about your politics but the politics of the Republican Party have made it worse.,face masks,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.29E+18
@AvantaiWestCoast Iâm in coach F en route to London Euston to Sandwell and station to Dudley and two people opposite me do not have a facemask on? What is the process as I feel that it is irresponsible and also theyâre not following the strict guidelines like others. #covid19,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
"When you wear a mask, wear it correctly... cover your mouth and your your your your. #. #besmart",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
@Placed2nd @AngelaBelcamino Omg people say I have to wear a mask and I'm crying because I have to wear a mask to save lives boo hoo!! Ygh people are stupid!!!,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"A little girl told me she loved my @rob_sheridan shirt today. I was at the liquor store, and I don't remember how human interaction works, so I guess we're in love. Anyway, put on a goddamn mask and stop packing restaurants. I want to leave my house more",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
"@Lowes employee approved mask wearing 100%
Customer mask wearing 90%
Customer without mask wearing 50%
#coveryournose :mask: :mask: :mask: 
Special shoutout to the woman wearing a chin guard :rage:",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
"@LearningToGetBy What a bunch of hillbillies! That asshole â�����er. Is proud to have his supporters! :joy::joy::joy: itâs a Mensa meeting. And not a mask in site, that is his brilliance! #canpoli #Manitoba",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@KrisTStacey1 @Walmart Whatâs Schantz.   The Democrat Governors of California and California are both doing a great job combatting #COVID19..  The Democrat mayor of NYC is a damn idiot tho.  Donât be a mask..  mask, Kris.  ",face masks,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.28E+18
"@ananavarro @realDonaldTrump� a right. This pandemic, like every crisis, seems to squeeze the best and the worst of us out of the shadows. And he probably preaches about What Would Jesus Do. IfIf��� a,, heâd wear a damn and a mask.#COVIDIOTS",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
Can yâall wear masks so we can freely drink our water and and walk around without a mask around our faces?!,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"People who like to sew: a large quarter of fabric is the perfect size to make two pleated masks :) cut it in half then in half again and then the two squares to make one mask. Make pleats By making 3-4 folds, sew the edges, and add ties. Done. #normalisemaskwearing ",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.28E+18
I wonder what the government policy is to folks who buy lottery and donât wear masks? #WearADamnMask,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
"@DrNickCromwell Hi Nick, I agree itâs brilliant...but Iâm concerned that so many comments here show that either people lack a sense of humour!  and/or donât get how essential both vaccinations and mask wearing are for our survival! Shocking! 

������������������   
#MasksSaveLives",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.29E+18
Is there still a pandemic or not? Everyone out there living their best summer life and I'm like this is a.. #Covid_19,face masks,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.29E+18
Is it lost on anyone that the very same people who bitch and moan and refuse to where a mask to save another human life are the EXACT SAME people who doggedly defend the 2nd amendment after 50 people get shot dead by an AK-47? #therightiswrong #COVIDã¼19,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"A guy with no mask just knocked on my door. I have big loud dogs, he backed away. I stuck my head out and he yelled across the yard. I face a frozen over. Holy hell, he came to my door with no mask.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"Yâall, wearing a mask is great. I can mouth the words to a weird song I have in my head and no one looks at me funny.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
"It's annoying how some people don't wear a mask because they say it takes away their freedom, but when you do wear a mask, you have the freedom to go about outside &amp; in any store you want to. 
Please #WearAMask so we can beat this, and none of us will have to",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
