Tweet,Target 1,Stance 1,set,Target ori
"""marriage"" isn't keeping up with the times.  abandon the old thinking and bring something that incorporates all unions - not just those with a man and woman.",abandon marriage,FAVOR,train,We should abandon marriage
.a multi-party system would be too confusing and getting a consensus from the general public would be difficult.,multi-party system,AGAINST,train,We should adopt a multi-party system
`people reach their limit when it comes to their quality of life and should be able to end their suffering.  this can be done with little or no suffering  by assistance and the person is able to say good bye.,offence,AGAINST,train,Assisted suicide should be a criminal offence
"100% agree, should they do that, it would be a good thing",spaces,FAVOR,train,We should abolish safe spaces
A ban on naturopathy creates a cohesive front between scientists and the government that can combat the anti-science rhetoric of naturopathic industries.,ban naturopathy,FAVOR,train,We should ban naturopathy
"A ban would be disasterous for the surrogate mothers. Surrogacy will happenn anyway, because the need for it exists, but there will be no health and legal standards for the proccess.",Surrogacy,AGAINST,train,Surrogacy should be banned
"A ban would be inffective, people who want a baby so badly, will find a way to go through with it. Either illegaly or in some foresaken country which doesn't ban it.",Surrogacy,AGAINST,train,Surrogacy should be banned
a ban would only increase the already concerning trend to go to dangerous surgeons abroad,ban surgery,AGAINST,train,We should ban cosmetic surgery
"A basic principle of punishment is that it should be proportional to the crime, and therefore capital punishment is the only legitimate response to a crime such as first degree murder.",capital punishment,AGAINST,train,We should abolish capital punishment
"a birth defect or a disfiguring injury can highly impact someone's self esteem, with parental permission minors should have the opportunity to correct this.",ban surgery minors,AGAINST,train,We should ban cosmetic surgery for minors
"a child cannot just walk into a cosmetic surgeons and get unnecessary surgery, parental consent and medical regulations are in place to ensure this is only conducted safely and on worthy cases of deformity",ban surgery minors,AGAINST,train,We should ban cosmetic surgery for minors
a child is a gift and should be cherished for whatever sex they are,sex selection,AGAINST,train,We should legalize sex selection
"a child is still growing, physically and mentally, cosmetic surgery should not be considered until they are an adult and able to make these decisions",ban surgery minors,FAVOR,train,We should ban cosmetic surgery for minors
a child's body is still developing and the faults that a child sees in themselves may resolve when they're an adult,ban surgery minors,FAVOR,train,We should ban cosmetic surgery for minors
a child's value should not be based upon their sex.  they are human no matter what.,sex selection,AGAINST,train,We should legalize sex selection
a city is the best place for people to have what they need near by,fight urbanization,AGAINST,train,We should fight urbanization
"A collectivist culture cultivates desirable values such as being kind, generous, and attentive to the needs of others.",collectivism,AGAINST,train,We should oppose collectivism
a college degree is no longer a guarantee that you will have a job nor is it even required for decent careers anymore. it is a waste of money as most degrees are becoming obsolete.,student loans,AGAINST,train,We should subsidize student loans
"a college education is too expensive for most people to afford.  yet, it is almost a requirement to get a great job.  by helping to pay student loans we are also helping our economy and providing better jobs.",student loans,FAVOR,train,We should subsidize student loans
a company can pay an executive anything it wants.  if the person is a great value to his company his salary no matter how high is worth it.,limit executive compensation,AGAINST,train,We should limit executive compensation
