Tweet,Target 1,Stance 1,set
"""marriage"" isn't keeping up with the times.  abandon the old thinking and bring something that incorporates all unions - not just those with a man and woman.",We should abandon marriage,FAVOR,train
.a multi-party system would be too confusing and getting a consensus from the general public would be difficult.,We should adopt a multi-party system,AGAINST,train
`people reach their limit when it comes to their quality of life and should be able to end their suffering.  this can be done with little or no suffering  by assistance and the person is able to say good bye.,Assisted suicide should be a criminal offence,AGAINST,train
"100% agree, should they do that, it would be a good thing",We should abolish safe spaces,FAVOR,train
A ban on naturopathy creates a cohesive front between scientists and the government that can combat the anti-science rhetoric of naturopathic industries.,We should ban naturopathy,FAVOR,train
"A ban would be disasterous for the surrogate mothers. Surrogacy will happenn anyway, because the need for it exists, but there will be no health and legal standards for the proccess.",Surrogacy should be banned,AGAINST,train
"A ban would be inffective, people who want a baby so badly, will find a way to go through with it. Either illegaly or in some foresaken country which doesn't ban it.",Surrogacy should be banned,AGAINST,train
a ban would only increase the already concerning trend to go to dangerous surgeons abroad,We should ban cosmetic surgery,AGAINST,train
"A basic principle of punishment is that it should be proportional to the crime, and therefore capital punishment is the only legitimate response to a crime such as first degree murder.",We should abolish capital punishment,AGAINST,train
"a birth defect or a disfiguring injury can highly impact someone's self esteem, with parental permission minors should have the opportunity to correct this.",We should ban cosmetic surgery for minors,AGAINST,train
"a child cannot just walk into a cosmetic surgeons and get unnecessary surgery, parental consent and medical regulations are in place to ensure this is only conducted safely and on worthy cases of deformity",We should ban cosmetic surgery for minors,AGAINST,train
a child is a gift and should be cherished for whatever sex they are,We should legalize sex selection,AGAINST,train
"a child is still growing, physically and mentally, cosmetic surgery should not be considered until they are an adult and able to make these decisions",We should ban cosmetic surgery for minors,FAVOR,train
a child's body is still developing and the faults that a child sees in themselves may resolve when they're an adult,We should ban cosmetic surgery for minors,FAVOR,train
a child's value should not be based upon their sex.  they are human no matter what.,We should legalize sex selection,AGAINST,train
a city is the best place for people to have what they need near by,We should fight urbanization,AGAINST,train
"A collectivist culture cultivates desirable values such as being kind, generous, and attentive to the needs of others.",We should oppose collectivism,AGAINST,train
a college degree is no longer a guarantee that you will have a job nor is it even required for decent careers anymore. it is a waste of money as most degrees are becoming obsolete.,We should subsidize student loans,AGAINST,train
"a college education is too expensive for most people to afford.  yet, it is almost a requirement to get a great job.  by helping to pay student loans we are also helping our economy and providing better jobs.",We should subsidize student loans,FAVOR,train
a company can pay an executive anything it wants.  if the person is a great value to his company his salary no matter how high is worth it.,We should limit executive compensation,AGAINST,train
a company can pay higher to their employees if executive compensation is limited,We should limit executive compensation,FAVOR,train
a company has the right to determine how much executive compensation that they can pay out.,We should limit executive compensation,AGAINST,train
a company should be able to decide on their own how much they want to pay any of their employees,We should limit executive compensation,AGAINST,train
a company should be able to pay whatever they need to to attract the right talent. they will only pay what the market determines the person is worth.,We should limit executive compensation,AGAINST,train
a compulsory vote we make everyone contribute their opinion.,We should introduce compulsory voting,FAVOR,train
a consumer doesn't know what's really in natural remedies since there is no regulation,We should ban naturopathy,FAVOR,train
a cosmetic procedure may be necessary for a horribly scarred child.,We should ban cosmetic surgery for minors,AGAINST,train
A country is entitled to develop any weapon that will help it defend itself against an enemy.,We should fight for the abolition of nuclear weapons,AGAINST,train
