Tweet,Target 1,Stance 1,set
"""marriage"" is just keeping up with the times.  abandon the old model and bring something that incorporates all unions - not just those with a man and woman.",We should abandon marriage,FAVOR,train
.a multi-party system would be too confusing and getting a consensus from the general public would be difficult.,We should adopt a multi-party system,AGAINST,train
`people reach their limit when it comes to their quality of life and should be able to end their suffering.  this can be done with little or no suffering  by assistance and the person being able to say good bye.,Assisted suicide should be a criminal offence,AGAINST,train
"100% agree, should they do that, it would be a good thing",We should abolish safe spaces,FAVOR,train
A ban on naturopathy creates a cohesive voice between scientists and the public that can combat the anti-science rhetoric of naturopathic industries.,We should ban naturopathy,FAVOR,train
"A ban would be disasterous for the surrogate mothers. Sur surrog it will happenn anyway, because the need for it exists, and there will be no accountability and no standards for the proccess.",Surrogacy should be banned,AGAINST,train
"A ban would be inffective, people who want a baby so badly, will find a way to go ahead with it. Either here or live in some foresaken country that doesn't ban it.",Surrogacy should be banned,AGAINST,train
a ban would only increase an already concerning trend to go to dangerous surgeons abroad,We should ban cosmetic surgery,AGAINST,train
"The basic principle of punishment is that it should be proportional to the crime, and therefore capital punishment is the only legitimate response to a crime such as first degree murder.",We should abolish capital punishment,AGAINST,train
"a birth defect or a disfiguring accident can highly impact someone's self esteem, with parental consent minors should have the right to correct this.",We should ban cosmetic surgery for minors,AGAINST,train
a child cannot just walk into a plastic surgeons and get unnecessary surgery. parental consent and medical regulations are in place to ensure this is only conducted safely and on worthy cases of deformity,We should ban cosmetic surgery for minors,AGAINST,train
a child is a gift and should be cherished for whatever sex they are,We should legalize sex selection,AGAINST,train
"a child is still growing developing physically and mentally, cosmetic surgery should not be allowed until they are an adult and able to make informed decisions",We should ban cosmetic surgery for minors,FAVOR,train
a child's body is still developing and any faults that a child sees in themselves may resolve when they're an adult,We should ban cosmetic surgery for minors,FAVOR,train
a person's value should not be based upon their sex.  they are human no matter what.,We should legalize sex selection,AGAINST,train
a city is the best place for people to have what they need near them,We should fight urbanization,AGAINST,train
"A collectivist culture cultivates desirable values such as being kind, generous, and caring to the needs of others.",We should oppose collectivism,AGAINST,train
a college degree is no longer a guarantee that you will have a job nor is it even required for most careers anymore. it is a waste of money as most degrees are becoming useless.,We should subsidize student loans,AGAINST,train
"a college education is too expensive for most people to afford.  yet, it is almost a given to get a great job.  by subsidizingizing student loans we are also helping our economy and providing better jobs.",We should subsidize student loans,FAVOR,train
a company can pay an executive anything he wants.  if the person is a great asset to the company his salary no matter how high is worth it.,We should limit executive compensation,AGAINST,train
a company can pay higher to their employees if executive compensation is limited,We should limit executive compensation,FAVOR,train
a company has the right to determine how much executive compensation that they can pay out.,We should limit executive compensation,AGAINST,train
a company should be able to decide on their own how much they want to pay any of their employees,We should limit executive compensation,AGAINST,train
a company should be able to pay whatever they need to to attract the right talent. they will only pay what the company thinks the person is worth.,We should limit executive compensation,AGAINST,train
a compulsory vote we make everyone contribute their opinion.,We should introduce compulsory voting,FAVOR,train
a person doesn't know what's really in natural remedies since there is no regulation,We should ban naturopathy,FAVOR,train
a cosmetic procedure may be necessary for a horribly traumatfigured child.,We should ban cosmetic surgery for minors,AGAINST,train
A country is entitled to develop any weapon that will help it defend itself against an enemy.,We should fight for the abolition of nuclear weapons,AGAINST,train
a country should have the right to defend itself in any way it sees fit even if they do not intend to use nuclear weapons.,We should fight for the abolition of nuclear weapons,AGAINST,train
A country with a diverse population is better represented by a multi-party system.,We should adopt a multi-party system,FAVOR,train
"A couple shouldn not have to bind themselves legally to one another, by marrying marriage to prove their love.",We should abandon marriage,FAVOR,train
a more medical treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide should be a criminal offence,FAVOR,train
"a fair and free society is said to respect bodily autonomy, therefore we should have the right to do what we want with our organs, including using them in a legal organ trade",We should legalize organ trade,FAVOR,train
a disadvantage of naturopathy is when natural medicines are taken to treat medical conditions without seeking qualified medical help,We should ban naturopathy,FAVOR,train
a father figure that takes an active role in their child's life has a positive effect on the child,We should subsidize stay-at-home dads,FAVOR,train
"a father is entitled to sacrifice his work for time with his new-born, but this is a personal choice and should be be if it is not financially supported by the tax paypayer.",We should subsidize stay-at-home dads,AGAINST,train
a few loud mouths should not be able to change rule of law,We should limit judicial activism,FAVOR,train
"A flag is just a symbol and carries no real threat in and of itself. Therefore, burning it is not a big deal.",We should prohibit flag burning,AGAINST,train
a flag is mass produced and has no real commercial value other than the material it is made with,We should prohibit flag burning,AGAINST,train
"a flag is no more than a symbol, if flag burning was banned you would have to ban the burning of football shirts, etc",We should prohibit flag burning,AGAINST,train
a flag is only a piece of cloth and there is no prohibition against burning it,We should prohibit flag burning,AGAINST,train
a flag is only a symbol and permitting burning it as an expression of protest is free speech,We should prohibit flag burning,AGAINST,train
a flag is only really a peace of cloth and doesn't really offend anybody.,We should prohibit flag burning,AGAINST,train
a flag symbolizes a country and by burning it you are showing disrespect,We should prohibit flag burning,FAVOR,train
a gender neutral language should be adopted so that conversations and language would be fair for everyone.,We should adopt gender-neutral language,FAVOR,train
a gender neutral language would improve gender equality,We should adopt gender-neutral language,FAVOR,train
a gender-neutral language is what we should all learn to use. it will help in dealing with racism and other social issues,We should adopt gender-neutral language,FAVOR,train
a gender-neutral language would take hundreds of years to adopt to and it should be abandoned,We should adopt gender-neutral language,AGAINST,train
A good portion of the telemarketers these days are not even human and this is illegal and Immoral,We should ban telemarketing,FAVOR,train
A government-funded Wikipedia would become a government-controlled Wikipedia.,We should subsidize Wikipedia,AGAINST,train
soc society can function more effectively and with greater impact when working together as opposed to individually,We should oppose collectivism,AGAINST,train
a group of positive thoughts in line with one stance makes it greater.,We should oppose collectivism,AGAINST,train
a high turnout is important for a proper democratic mandate and the functioning of democracy,We should introduce compulsory voting,FAVOR,train
"a human being at death can help others who live, through organ trade help their families.",We should legalize organ trade,FAVOR,train
a human rights activist spoke out saying people should not be racially profiled because they belonged to a certain group or had different colors.,We should end racial profiling,FAVOR,train
a judge allowing their own personal feelings to become involved in a ruling cause said ruling to be unfair.,We should limit judicial activism,FAVOR,train
a judge is a credible voted in person whose opinion should be trusted.,We should limit judicial activism,AGAINST,train
"a judge is merely supposed to interpret whether legal issues are constitutional -- judicial activism is effectively legislating from the bench, which is what the judicial branch is allowed to do.",We should limit judicial activism,FAVOR,train
