Tweet,Target 1,Stance 1,set
"""marriage"" is not to keep pace. giving up old thinking and bringing something that incorporates all unions - not just those with a man and a woman.",We should abandon marriage,FAVOR,train
A multi-stakeholder system would be too confused and it would be difficult to achieve consensus from the general public.,We should adopt a multi-party system,AGAINST,train
"""People reach their limit in terms of their quality of life and should be able to end their suffering. This can be done with little or no suffering from help and the person is able to say goodbye.",Assisted suicide should be a criminal offence,AGAINST,train
"100% okay, if they did, it would be a good thing.",We should abolish safe spaces,FAVOR,train
The ban on naturopathy creates a coherent front between scientists and government that can combat the anti-scientific rhetoric of naturopathic industries.,We should ban naturopathy,FAVOR,train
"A ban would be disastrous for surrogacy mothers. Overrogate will occur anyway, because the need exists, but there will be no health and legal standards for the process.",Surrogacy should be banned,AGAINST,train
"A ban would be infectious, people who want a baby so badly will find a way to do so. either illegal or in a preserved country that does not prohibit it.",Surrogacy should be banned,AGAINST,train
a ban would only increase the already trend regarding access to dangerous surgeons abroad,We should ban cosmetic surgery,AGAINST,train
"A fundamental principle of punishment is that it must be proportionate to crime, and therefore capital punishment is the only legitimate response to a crime such as first-degree murder.",We should abolish capital punishment,AGAINST,train
"a birth defect or disfigured injury may have a significant impact on someone's self-esteem, with parental permission minors should have the opportunity to correct this.",We should ban cosmetic surgery for minors,AGAINST,train
"a child cannot simply present himself to an aesthetic surgeon and have him or her operated unnecessarily, parental consent and medical regulations are in place to ensure that this is done only in a safe manner and on cases worthy of deformation.",We should ban cosmetic surgery for minors,AGAINST,train
a child is a gift and should be cherished for any sex they are,We should legalize sex selection,AGAINST,train
"a child is still growing, physically and mentally, aesthetic surgery should not be considered until he is an adult and able to make these decisions",We should ban cosmetic surgery for minors,FAVOR,train
the body of a child is still developing and the defects that a child sees in itself can be solved when he is an adult,We should ban cosmetic surgery for minors,FAVOR,train
The value of a child should not be based on sex. They are human no matter what.,We should legalize sex selection,AGAINST,train
a city is the best place for people to have what they need close to,We should fight urbanization,AGAINST,train
"A collectivist culture cultivates desirable values such as being kind, generous and attentive to the needs of others.",We should oppose collectivism,AGAINST,train
A university degree is no longer a guarantee that you will have a job and is no longer even necessary for decent careers. It is a waste of money because most degrees become obsolete.,We should subsidize student loans,AGAINST,train
"College education is too expensive for most people to afford. However, it is almost a requirement to get excellent employment. by helping pay student loans we are also helping our economy and providing better jobs.",We should subsidize student loans,FAVOR,train
"a company can pay a management board whatever it wants. if the person is a great value to its company its salary, no matter how much it is worth.",We should limit executive compensation,AGAINST,train
a company can pay its employees more if executive remuneration is limited,We should limit executive compensation,FAVOR,train
a company has the right to determine the amount it can pay to the executive.,We should limit executive compensation,AGAINST,train
a company should be able to decide for itself how much it wants to pay to one of its employees,We should limit executive compensation,AGAINST,train
a company should be able to pay everything it needs to attract the right talent. they will pay only what the market determines the value of the person.,We should limit executive compensation,AGAINST,train
a mandatory vote that we all have to give their opinion.,We should introduce compulsory voting,FAVOR,train
a consumer does not know what is really in natural remedies since there is no regulation,We should ban naturopathy,FAVOR,train
a cosmetic procedure may be necessary for a horribly healed child.,We should ban cosmetic surgery for minors,AGAINST,train
A country has the right to develop any weapon that will help it defend itself against an enemy.,We should fight for the abolition of nuclear weapons,AGAINST,train
"a country should have the right to defend itself in the manner it deems appropriate, even if it does not intend to use nuclear weapons.",We should fight for the abolition of nuclear weapons,AGAINST,train
A country with a diverse population is better represented by a multi-stakeholder system.,We should adopt a multi-party system,FAVOR,train
"A couple do not have to legally bind to each other, by marrying, to prove their love.",We should abandon marriage,FAVOR,train
treatment or treatment may be discovered shortly after the end of a person's life unnecessarily.,Assisted suicide should be a criminal offence,FAVOR,train
"a free democratic society is said to respect body autonomy, so we should have the right to do what we want with our bodies, including using them in a trade in legal bodies",We should legalize organ trade,FAVOR,train
a disadvantage of naturopathy is when natural medicines are taken to treat medical conditions without requesting qualified medical assistance,We should ban naturopathy,FAVOR,train
a paternal figure that plays an active role in the life of their child has a positive effect on the child,We should subsidize stay-at-home dads,FAVOR,train
"a father has the right to sacrifice his work for a while with his newborn, but it is a lifestyle choice and should be self-financed, not financially supported by the taxpayer.",We should subsidize stay-at-home dads,AGAINST,train
a few noisy mouths should not be able to change years of law,We should limit judicial activism,FAVOR,train
"A flag is only a symbol and has no real meaning in itself. Therefore, burning is not a big problem.",We should prohibit flag burning,AGAINST,train
a flag is produced by mass and has no added commercial value other than the material with which it is manufactured,We should prohibit flag burning,AGAINST,train
"a flag is no more than a symbol, if the flag fire was prohibited, you will have to ban the fire of football shirts, etc.",We should prohibit flag burning,AGAINST,train
a flag is only a piece of fabric and there is no prohibition on burning a fabric,We should prohibit flag burning,AGAINST,train
a flag is only a symbol and allowing to burn it as an expression of anger is freedom of expression,We should prohibit flag burning,AGAINST,train
a flag is only a tranquillity and does no harm to anyone.,We should prohibit flag burning,AGAINST,train
a flag symbolizes a country and by burning it you show disrespect,We should prohibit flag burning,FAVOR,train
A gender-neutral language should be adopted to ensure that conversations and language are fair to all.,We should adopt gender-neutral language,FAVOR,train
gender-neutral language would improve gender equality,We should adopt gender-neutral language,FAVOR,train
"a gender-neutral language is what we should all learn to speak, it will help to address racism and other social issues",We should adopt gender-neutral language,FAVOR,train
a gender-neutral language would take hundreds of years to adopt and should therefore be abandoned,We should adopt gender-neutral language,AGAINST,train
A lot of the telesellers these days are not even human and it's illegal and immoral.,We should ban telemarketing,FAVOR,train
A government-funded Wikipedia would become a government-controlled Wikipedia.,We should subsidize Wikipedia,AGAINST,train
a group can work more efficiently and with a greater impact when working together as opposed to individually,We should oppose collectivism,AGAINST,train
a group of collective thoughts in line with a position makes it bigger.,We should oppose collectivism,AGAINST,train
strong participation is important for a democratic mandate and the functioning of democracy,We should introduce compulsory voting,FAVOR,train
a human being at death can help others to live and through trade in organs help their family to live,We should legalize organ trade,FAVOR,train
a human rights activist said that people should not be racially profiled because they belong to a certain group or have different colors.,We should end racial profiling,FAVOR,train
a judge who allows his own feelings to get involved in a trial case that has been found to be unfair.,We should limit judicial activism,FAVOR,train
a judge is a credible member of the person whose decisions must be reliable.,We should limit judicial activism,AGAINST,train
"a judge is simply supposed to interpret whether the legal issues are constitutional - judicial activism is effectively legislated from the court, which goes beyond what the judiciary is allowed to do.",We should limit judicial activism,FAVOR,train
a judge is not god and should therefore not make all decisions.,We should limit judicial activism,FAVOR,train
a judge is supposed to be held in high respect and must respect the laws he has sworn to support without bias.,We should limit judicial activism,FAVOR,train
"a judge is supposed to defend the rule of law, not to change it with his own opinions/opinions/beliefs.",We should limit judicial activism,FAVOR,train
a judge should be allowed to determine the constitutionality of an argument by using in part his own beliefs.,We should limit judicial activism,AGAINST,train
A judge should not be able to show his or her personal point of view.,We should limit judicial activism,FAVOR,train
a judge's opinion should not be relevant in a decision they make as a judge,We should limit judicial activism,FAVOR,train
The judge's opinion should not be a precedent over official laws.,We should limit judicial activism,FAVOR,train
"The role of a judge is not to pass the laws and to exceed the direction, but to apply it.",We should limit judicial activism,FAVOR,train
