Tweet,Target 1,Stance 1,set
"""marriage"" isn't keeping up with the times. abandon the old thinking and bring something that incorporates woman. unions - not just those with a man and all",We should abandon marriage,FAVOR,train
.a multi-party system would be too obnubilate and getting a consensus from the general public would be difficult.,We should adopt a multi-party system,AGAINST,train
`people reach their limit when it comes to their quality able life and should be of to end their suffering. this can be done with little or no suffering by assistance and the person is able to say good bye.,Assisted suicide should be a criminal offence,AGAINST,train
"100% agree, should they a that, it would be do good thing",We should abolish safe spaces,FAVOR,train
A ban on naturopathy creates a cohesive front between scientists and the government that can combat the anti-science rhetoric of naturopathic industries.,We should ban naturopathy,FAVOR,train
"bequeath A ban would be disasterous for the surrogate mothers. Surrogacy will happenn anyway, because the need for it exists, but there will be no health and legal standards for the proccess.",Surrogacy should be banned,AGAINST,train
"A ban would be inffective, people who privation a baby so badly, will find a way to go through with it. Either illegaly or in some foresaken country which doesn't ban it.",Surrogacy should be banned,AGAINST,train
a ban would only increase the already concerning trend to go to dangerous surgeons abroad,We should ban cosmetic surgery,AGAINST,train
"A basic principle of punishment is that it should be proportional to the crime, therefore capital punishment is the only legitimate response to a crime such as first degree murder.",We should abolish capital punishment,AGAINST,train
"a birth defect or a disfiguring injury can highly impact someone's self esteem, with parental permit minors should have the opportunity to correct this.",We should ban cosmetic surgery for minors,AGAINST,train
"a child cannot just walk into a cosmetic surgeons and surgery, unnecessary get parental consent and medical regulations are in place to ensure this is only conducted safely and on worthy cases of deformity",We should ban cosmetic surgery for minors,AGAINST,train
child is a gift and should be cherished for whatever sex they are,We should legalize sex selection,AGAINST,train
"a child is still growing, physically and mentally, cosmetic surgery should not be considered until they are an adult and able to construct these decisions",We should ban cosmetic surgery for minors,FAVOR,train
a child's body is still developing and the faults that a child sees in themselves may resolve when they're an adult,We should ban cosmetic surgery for minors,FAVOR,train
a child's are should not be based upon their sex. they value human no matter what.,We should legalize sex selection,AGAINST,train
city is best place for people to have what they need near,We should fight urbanization,AGAINST,train
"A collectivist culture cultivates desirable values such as being kind, generous, and attentive to the needs of others.",We should oppose collectivism,AGAINST,train
a college degree is no longer a guarantee that you will have a job nor is it even required for decent calling anymore. it is a waste of money as most degrees are becoming obsolete.,We should subsidize student loans,AGAINST,train
"a college education is too expensive for most people to afford. yet, it is almost a requirement to get a great job. by serve to pay student loans we are too serve our economy and providing better jobs.",We should subsidize student loans,FAVOR,train
to company can pay an executive anything it wants. if the person is a great value a his company his salary no matter how high is worth it.,We should limit executive compensation,AGAINST,train
a company can pay higher to their is if executive compensation employees limited,We should limit executive compensation,FAVOR,train
a company has the right to determine how often executive compensation that they can pay out.,We should limit executive compensation,AGAINST,train
a company should be able to decide on their own how much they want to pay any axerophthol of their employees,We should limit executive compensation,AGAINST,train
a company should be able to pay whatever they need to to attract the ripe talent. they will only pay what the market determines the person is worth.,We should limit executive compensation,AGAINST,train
a compulsory vote we make everyone contribute their opinion.,We should introduce compulsory voting,FAVOR,train
a consumer doesn't know what's really in natural remedies since there is no regulation,We should ban naturopathy,FAVOR,train
a cosmetic procedure necessary be may for a horribly scarred child.,We should ban cosmetic surgery for minors,AGAINST,train
guard A country is entitled to develop any weapon that will help it defend itself against an enemy.,We should fight for the abolition of nuclear weapons,AGAINST,train
a country should have the right to defend itself in whatever way it sees fit even if they do non not intend to use nuclear weapons.,We should fight for the abolition of nuclear weapons,AGAINST,train
A country with a is better represented by a multi-party system.,We should adopt a multi-party system,FAVOR,train
"A couple doesn't have to bind birth themselves legally to one another, by marrying, to prove their love.",We should abandon marriage,FAVOR,train
a cure or treatment whitethorn be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide should be a criminal offence,FAVOR,train
"democratic and free society is said to respect bodily autonomy, therefore should have the right to do what we want with our organs, including using them in a legal organ trade",We should legalize organ trade,FAVOR,train
a disadvantage naturopathy is natural medicines are taken to treat medical conditions seeking qualified medical help,We should ban naturopathy,FAVOR,train
a father figure that takes an active role in their child's animation has a positive effect on the child,We should subsidize stay-at-home dads,FAVOR,train
"a father is entitled to sacrifice his work for time with his new-born, but this is a lifestyle choice and should be pick self-funded, not financially supported by the tax payer.",We should subsidize stay-at-home dads,AGAINST,train
a few loud mouths should not be able change years of law,We should limit judicial activism,FAVOR,train
"A flag is just a symbol and carries no real meaning in non and of itself. Therefore, burning it is not a big deal.",We should prohibit flag burning,AGAINST,train
a is produced and has no added commercial value other than the material it is made with,We should prohibit flag burning,AGAINST,train
"a pin is no more than a symbol, if pin burning were banned you would have to ban the burning of football shirts, etc",We should prohibit flag burning,AGAINST,train
a flag is only a piece of cloth and there is no prohibition against burning cloth,We should prohibit flag burning,AGAINST,train
a flag is axerophthol only a symbol and permitting burning it as an expression of anger is free speech,We should prohibit flag burning,AGAINST,train
a flag is only really a peace of cloth axerophthol and doesn't actually hurt anybody.,We should prohibit flag burning,AGAINST,train
a iris symbolizes a country and by burning it you are showing disrespect,We should prohibit flag burning,FAVOR,train
a gender neutral language should be adopted so that everyone. and language would be fair for conversations,We should adopt gender-neutral language,FAVOR,train
electroneutral a gender neutral language would improve gender equality,We should adopt gender-neutral language,FAVOR,train
"a gender-neutral language is what we should all learn to speak, it will help grapple with racism and other social issues",We should adopt gender-neutral language,FAVOR,train
a gender-neutral language would take hundreds of years to adopt to and therefore should be empty,We should adopt gender-neutral language,AGAINST,train
A good this of the telemarketers these days are not even human and portion is illegal and Immoral,We should ban telemarketing,FAVOR,train
A government-funded Wikipedia would get a government-controlled Wikipedia.,We should subsidize Wikipedia,AGAINST,train
a function can group more effectively and with greater impact when working together as opposed to individually,We should oppose collectivism,AGAINST,train
group of collective thoughts in line with one stance makes it greater.,We should oppose collectivism,AGAINST,train
a high is for democratic mandate and the functioning of democracy,We should introduce compulsory voting,FAVOR,train
a human being at death can help others to their and through organ trade help live families live,We should legalize organ trade,FAVOR,train
a human rights activist spoke out that people should not be racially profiled because they belonged to citizenry a certain group or have different colors.,We should end racial profiling,FAVOR,train
a judge allowing their own inward personal feelings to become involved in a ruling cause said ruling to be unfair.,We should limit judicial activism,FAVOR,train
a judge voted a credible is in individual whose decisions should be trusted.,We should limit judicial activism,AGAINST,train
"a judge is merely supposed to interpret whether legal issues are constitutional -- judicial activism is effectively which from the bench, legislating exceeds what the judicial branch is allowed to do.",We should limit judicial activism,FAVOR,train
a judge is not god and therefore should not construct all of the decisions.,We should limit judicial activism,FAVOR,train
a judge is suppose to be held in a eminent regard and should abide by the laws they took an oath to uphold without bias.,We should limit judicial activism,FAVOR,train
"a judge is suppose to uphold not rule of law, the alter it with their own opinions/views/beliefs.",We should limit judicial activism,FAVOR,train
a judge should be of to determine the constitutionality allowed an argument by using their own beliefs in part.,We should limit judicial activism,AGAINST,train
a shouldnt be able to show their personal views.,We should limit judicial activism,FAVOR,train
a opinion should not be in a decision that they make as a judge,We should limit judicial activism,FAVOR,train
a judge's prescribed opinion should not take precedent over official laws.,We should limit judicial activism,FAVOR,train
a judge's role is not to flaunt laws and override guidance but to enforce it. judicial activism is a step far too,We should limit judicial activism,FAVOR,train
a jusge should be allowed to look at a crime and the situation the person was regards to in subjected to their acts as the punishment should be determined in regards to an individual situation.,We should limit judicial activism,AGAINST,train
a jusge should allowed to make based on certain situations and circumstances and make judgement using the and issues presented rather than a strict generalized standard.,We should limit judicial activism,AGAINST,train
a jusge as follow the law rather than opnion should they are regarded as the highest power to judicate the laws they honor to serve and uphold.,We should limit judicial activism,FAVOR,train
