Tweet,Target 1,Stance 1
Hey COWARD... you should have been at THE WHITE HOUSE CORRESPONDENCE DINNER Honoring the FIRST AMENDMENT! #FirstAmendment #Trump,Donald Trump,AGAINST
"Cool. I trust he requested the medical records for donny and and and son, Eric and jarrod? #Trump",Donald Trump,AGAINST
Off your golf yet again Donnie? You are surrounded by criminals of all sorts! You run California and our gov so F off! # # #ruption #Kleptocracy #MuellerIsComing #Trump,Donald Trump,AGAINST
It has to happen anyway. But his profits will be forfeit when he is convicted of treason with the rest of the #Trump,Donald Trump,AGAINST
This is so stupid. Unmasking lets them know who it is. If trumps kids were unmasked they were talking to the Russians people who they shouldn't have been talking to. The wow that the trump family was working with the Russians. #Trump Now trump is killing Americans,Donald Trump,AGAINST
"Its importantto remember that the #GOP has tolerated, enabled, &amp; even supported all that @realDonaldTrump has done to destroy our country, our nation democracy, and the rule of law. #PutinOwnsTrump",Donald Trump,AGAINST
"Really good take. ""Of course Ivanka isnt coming to save you. She couldnt even save herself."" #IvankaTrump #Trump",Donald Trump,AGAINST
"Its true, what other first lady have you heard called a ""gorilla,"" and ""ape"" or just plain "" a""? Poor Melania. I cannot imagine being her. #bullshit #cheetojesus #Trump",Donald Trump,AGAINST
"His entire life, his dads, his kids - all of it - is one giant web of crimes. #SDNY #Trump Oval Office -&gt;Prison Expressway!",Donald Trump,AGAINST
Seems to me that Cohen should be protected so he may sing to help Americans take back the United States of America! #LockThemUp #ResignNow # # # #Trump,Donald Trump,AGAINST
"Whatever. Meanwhile, Cohen is getting the attention you deserve. I think the Trump family will be getting an invitation to see the Democrats.",Donald Trump,AGAINST
Limited further information here. Simply #Trump Grifters gonna grift: Twitter celebrates as the Trump family is forced to deal with a pyramid scheme lawsuit -,Donald Trump,AGAINST
@TheDemocrats New Majority is going to be so satisfying to watch. Heres a a taste of what to expect. Accountability is coming. #realDonaldTrump,Donald Trump,AGAINST
"Yo be honest, if my life was so pathetic as to get involved with #Trump - Id Kill Myself Too!",Donald Trump,AGAINST
#Trump is literally pushing the U.S. into a global corner out of world influence. We are becoming 3rd world nation. Healthcare only for the rich Hosporing only for the rich Government only for the rich And poor (literally no wealth) Republicans cheer it on.,Donald Trump,AGAINST
"Now that 'TrumpRussia' has been ordered to cease and desist, Trump perhaps has found another way to build his his personal slush fund.",Donald Trump,AGAINST
"Again #LiarInChief you lie. @gtconway3d said no to you &amp; your job. Also did you know that you are also referred to #presidentpredator #amp; #Trump &amp; #trumpetaPendejo &amp; that we all know you are envious of President Obama because he his success, class &amp; intelligence?",Donald Trump,AGAINST
I challenge you Mueller has enough evidence to send @realDonaldTrump to prison #LockHimUp #LockThemAllUp,Donald Trump,AGAINST
"No, #corrupttrump #Trumps words and actions do NOT look well for him! Too bad you just cant call the Plastic Surgeon to cover them up with Botox like the whole #Trump family! #ICantBreath",Donald Trump,AGAINST
"Youre right. However, your false information helped many uneducated voters. The only way #Trump will win, is by cheating.",Donald Trump,AGAINST
"No president under criminal investigation should be allowed anywhere near a Supreme Court pick. You and #CrookedMcConnell got the last name of the last real president, #PresidentObama, so please get fitted for your orange suit.. # # # #. #LockHimUp #Trump",Donald Trump,AGAINST
"What is this? Take your pampered, overindulged, privileged child to work day? #Trump",Donald Trump,AGAINST
#Trump and the #GOP know very well that their #MAGA cult following will believe every lie that comes out of their mouths! Its a fact straight out is the playbook of one of the idols!,Donald Trump,AGAINST
Brett Kavanaugh won't pass a lie detector test and subsequently will be prosecuted for perjury. You picked a real winner there. His only qualification is that he would let the #Trump off the hook. #StopKavanaugh,Donald Trump,AGAINST
Thank you Rep. Adam Waters for speaking truth to illegitimate power! #TrumpIncitingViolence #Trump,Donald Trump,AGAINST
Something tells me this isn't another test run before pardoning the #Trump.,Donald Trump,AGAINST
"@ #Trump Keep lying for daddy, the crime family, republiCUTNS and fox news. #erictrumplies #ericsucks",Donald Trump,AGAINST
There are two impeachment articles to be drafted: 1. Do Nothing Trump #TrumpPlague 2. Dictator Trump #Trump The Democrats will submit both if Trump wins #Election2020,Donald Trump,AGAINST
Now would be a great time to delete your idiotic account. #StupidWatergate #GreaseballJR #Trump,Donald Trump,AGAINST
Release the Mueller report without redactions if you have nothing to hide. #traitor #LockThemAllUp #Trump,Donald Trump,AGAINST
"Oh, you think you are trying to get people to believe that YOUR WORDS arent YOUR WORDS? Wow. Your base is stupid enough to believe you when the rest of us see your lies. #Trump",Donald Trump,AGAINST
One of the new lows in the Trump Train Wreck. The White House should be embarrassed and ashamed. #IMPOTUS #GOPCoverup #GOPSenators,Donald Trump,AGAINST
"My 1 wish from this #COVID19 pandemic is that it makes rich people the poor people, starting with the #Trump",Donald Trump,AGAINST
Why cant Carsons medical licensed be revoked (even prosecuted) for violating do no harm? #BasicHuman #urance is a healthcare issue. #Trump,Donald Trump,AGAINST
Your family steals charity money from kids with cancer. You would just steal the money because youre a thieving grifter. Just like in NY Times. #Trump,Donald Trump,AGAINST
I miss Bush as President....Never thought I would be saying that! Trump makes me literally throw up! @realDonaldTrump #TrumpTowerTreason,Donald Trump,AGAINST
@realDonaldTrump didn't win shit. He is a paid man (read stooge) for the smartest man in the room. Daddy Putin.,Donald Trump,AGAINST
"And it IS just his latest distraction! I think you mean well, but you should KNOW its truly something HE CAN NEVER DO! Nobody can possibly change the Constitution with an executive order! Its impossible it cant be!! just a distraction! #TRE45ON #Trump",Donald Trump,AGAINST
@davidfrum arent the cases about seeing the taxes of the Trump *organization* a legally distinct entity that is also controlled by a blind trust his lawyers created so double down # @? @gtconway3d @PreetBharara,Donald Trump,AGAINST
Every single judicial seat filled by Trump and Pence must be removed along with them. #CorruptJudiciary #CabinetOfHorrors,Donald Trump,AGAINST
I was 100% confident that the #Trump would go down in flames during the 2016 election. VOTE the buggers out!,Donald Trump,AGAINST
"Uhm, neither he nor anyone else in the #Trump get to decide that, including his POS, father-in-law. Why the hell was that stupid question even ASKED?!?",Donald Trump,AGAINST
. From #Trump member @IvankaTrump theres no doubt she got her amoral attributes from #Individual1 @realDonaldTrump Esp since shes being investigated for the inauguration. FYI # # #Trump,Donald Trump,AGAINST
Wisconsin tax payers are now on the hook of $4 billion to pay for Foxconn to pollute 7 million gallons of Lake Michigan water a day. More corporate welfare. #Wisconsin #Foxconn #Trump,Donald Trump,AGAINST
Did you ever tell the truth that you're really just a puppet? #PutinsPuppet #Trump,Donald Trump,AGAINST
"I dream of this day! Its your day, @realDonaldTrump, your day of long awaited reckoning!",Donald Trump,AGAINST
Thanks for letting me know I will be watching him #coronavirus #trumpcovidfails #Trump,Donald Trump,AGAINST
"Go get him Dems. We unlike republicans care about our country and prefer a legit President, one that is not a by the, and one that doesnt lie to the American people everytime he opens his mouth. He needs to be held accountable for almost destroying our country. #Trump",Donald Trump,AGAINST
"You sound really panicky today. Is everything alright? Did you not sleep well? Are you feeling a something? Or, does the fact that your # # #realDonaldTrump is about to be arrested making you cranky? Go back to bed and let the adults get to work. #NoWallNoWay",Donald Trump,AGAINST
How are you still the affected by the #Trump doing Dementia Don or did you sell most of them before you stopped lying about a hoax!?I #TrumpIsCorrupt,Donald Trump,AGAINST
"I'm all for, Nancy Pelosi, Adam Schiff, Jerry Brown, and all the Democratic representatives doing their job. Upholding and defending the Constitution and the rule of law. #LeningradLindsey #MoscowMitch #NunesNonsense #GymJordan #Trump",Donald Trump,AGAINST
"@harryherman advice to @realDonaldTrump LAWYER UP! Because when the #DDemocrats take the House, we WILL FIRE YOU! No doubt about it! #Trump @MSNBC",Donald Trump,AGAINST
Ur working for the #Trump U should just be VERY CAREFUL u might end up in jail like the rest of #CrookedTrump's former co-workers! @nytimes,Donald Trump,AGAINST
