target,cluster
company,2
regulation,1
corporate regulation,1
regulation corporation,1
food label,2
`` natural labeling,2
healthy,2
natural,2
use word,2
natural labor,2
use word natural,2
food product labelling,2
natural,2
big bank,2
business,2
economic bailouts,1
stability economy,2
company management,2
control,2
wealth,2
bank,1
economy,1
royal couple,2
royal,2
royalty,1
royal extravagance,2
royal public relation,2
modern family,2
royal pr,2
royal medium exposure,2
mass medium,2
prostitution,8
sex industry,2
violence,8
violence,8
prostitution,8
rim,2
nba,4
raising rim,2
basketball,3
affirmative action,2
mexican immigrant,9
mexican,4
mexico,4
affirmative action,2
economic,1
grade college,3
education,3
identify failing k 12 school,2
k 12 school,3
marijuana,6
cannabis,6
cannabis use,6
gateway drug,8
medical marijuana,6
medical marijuana,6
pain management,2
electric car,2
electric rate,2
plugin car,2
tfa,4
teacher qualification,3
teach america,4
qualified teacher,3
status teacher,3
teacher pay,3
tfa,4
teach america,4
trained teacher,3
prostitution,8
prostitution,8
prostitution legalization,8
every known human society,2
capital gain,2
economic growth,2
tax elimination,1
tax,1
economic stimulus,1
cat,2
declawing cat,2
nail removal,2
cat,2
company,2
capitalism,1
private corporation profit,1
private corporation making profit regardless consequence,2
foreign language class,2
language,2
language learning,2
mandatory college,3
learning language important,2
learning language,2
learning another language,2
american society,4
latin helpful language,2
opioid training,8
opioid abuse,8
modern medicine,2
school librarian,3
teacher,3
library,3
childhood memory school librarian,3
ritual adult life,2
economic climate,2
economic hardship,1
economy,1
young people,2
parent,3
personal accountability,2
economy,1
gateway drug,8
marijuana,6
mj,4
opiate,8
overdose,8
marijuana,6
mj,4
opiate,8
marijuana effect,6
company,2
government,1
big business,2
kid,3
medical insurance,2
mandated curriculum,3
tax,1
education,3
attitude towards society,2
greater success,2
young people,2
invention,2
enlightenment,2
renaissance,2
altruistic thinking,2
hedonism,8
life short,2
medical website,2
doctor,2
doctor,2
elite,2
bar,2
attorney,1
law school,3
law school,3
attorney,1
law school,3
land,2
flood,2
privatize access shore line,2
private shore line,2
public assistance,2
disaster relief,2
beachfront home,2
public access,2
private shore,2
capital gain,2
capital gain,2
government,1
cat,2
pet cat,2
declaw,4
cat,2
mother teresa,4
religion prosecution,2
catholic america,4
catholic criminality,4
crime,8
catholic hypocrisy,4
palestinian state,4
palestine,5
nation,2
israel,5
palestinian statehood,5
israel,5
illegal labor,1
salary,1
illegal labor,1
legal worker,1
legal employed,1
illegal worker,1
salary raised,1
legal worker,1
farm,2
farm laborer,1
automation,2
farm robot,2
farm automation,2
illegal labor,1
automation farming,2
imported farm labourer,1
same sex college,3
phd degree,3
college,3
veganism,7
vegan,7
nutrition,2
veganism,7
everyone,2
veganism,7
veganism,7
vegan sport,2
athlete,3
mike tyson,4
legitimate threat,2
soil fertility,2
farm,2
overcrowding,2
fertility soil,2
overuse petrochemical fertilizer,2
u.s,5
embargo,1
us cuban relation,2
improving cuban usa relationship,2
diplomatic relation,2
cuban/usa mutual relationship,2
sanction,1
climate change,2
country working together climate change issue,2
trading embargo,1
people,2
ignorance,2
education,3
grade college,3
profit college,3
federal loan,1
people,2
contraception,9
intelligence,2
intelligence,2
high tech versus wisdom,2
high speed rail,2
transportation,2
public transportation,2
us budget,2
investing arm war,2
war,9
infrastructure,2
cost war,2
wealth,2
war,9
control,2
bank,1
bank,1
bail,1
big bank,2
bank,1
mandatory child,3
vaccination,0
vaccination,0
vaccination,0
anti vax,4
obamacare,4
political division,2
republican,4
republican,4
obstructionism,9
extreme parenting,2
perfectionism,2
demand parent,2
anxiety,2
parent,3
educational vacation time,2
teach,3
family,2
vacation,2
family vacation,2
teach,3
people,2
population,2
survival skill poorly educated,2
educational standard,2
dual citizenship,9
citizenship,9
dual citizenship,9
woman,2
home birth,2
home birth,2
doula,3
kid home,3
home birth,2
home birth,2
midwife,9
vaccination,0
vaccination,0
health,2
mandatory child,3
vaccination,0
vaccination choice,0
freedom choice,2
u.s. embassy,4
