Tweet,Target 1,Stance 1
Express Scripts Closes Acquisition Of eviCore; Companies Unite To Improve Healthcare For 100… https://t.co/BQ0qPWwwpH,The merge of Company Cigna and Company Express Scripts,NONE
Here's the just-released 400+ page merger proxy S-4 filing from @Cigna  $CI @ExpressScripts $ESRX. Enjoy!… https://t.co/ES8E0IYxsD,The merge of Company Cigna and Company Express Scripts,FAVOR
Cigna nears deal for Express Scripts https://t.co/wg7P0JTuj2 $CI $ESRX $ANTM,The merge of Company Cigna and Company Express Scripts,FAVOR
Watch UNH CVS AET CI ESRX MOH ANTM on the $HUM news,The merge of Company Cigna and Company Express Scripts,NONE
Talent Acquisition Coordinator job at Cigna - Causeway Bay https://t.co/M7Hgzx5TpK #Indeed #jobs,The merge of Company Cigna and Company Express Scripts,NONE
Express Scripts Closes Acquisition Of eviCore; Companies Unite To Improve Healthcare For 100 Million Americans: https://t.co/63wpLv8yLU,The merge of Company Cigna and Company Express Scripts,NONE
"Anthem's Cigna takeover bid blocked by federal judge

A federal judge has blocked Anthem's attempt to acquire Cigna… https://t.co/gkHoiwRfJa",The merge of Company Cigna and Company Express Scripts,NONE
Cigna Agrees to Buy Express Scripts for More Than $50 Billion https://t.co/j9j8cz1FXN,The merge of Company Cigna and Company Express Scripts,FAVOR
"Anthem fights for Cigna all the way to the Supreme Court

Anthem is fighting all the way to the Supreme Court to ac… https://t.co/9lLOOfqT6Y",The merge of Company Cigna and Company Express Scripts,NONE
"$ESRX $CI:

Express Scripts names new president for myMatrixx in Tampa:

https://t.co/NIB2GHRouT",The merge of Company Cigna and Company Express Scripts,NONE
Cigna to spend about $52 billion for Express Scripts: NEW YORK (AP) — Health insurer Cigna will spend about $52 bil… https://t.co/75fOHqlnr0,The merge of Company Cigna and Company Express Scripts,FAVOR
Dr. Howell from Cigna helps #FLAACOS17 understand the benefits of clinical integration https://t.co/Ot4qnDlwk2,The merge of Company Cigna and Company Express Scripts,NONE
$CI (Cigna) shareholders don't seem too excited about the $ESRX (Express Scripts) acquisition.,The merge of Company Cigna and Company Express Scripts,AGAINST
$ESRX Closes Acquisition Of eviCore healthcare https://t.co/43MRGPtS1R,The merge of Company Cigna and Company Express Scripts,NONE
Cigna bought out Express Scripts? Omg,The merge of Company Cigna and Company Express Scripts,FAVOR
"A new article found and posted on https://t.co/3g3Cf5s7jG, Buyout Target Express Scripts Has 30%-Plus Upside https://t.co/5XNiWbLdvh",The merge of Company Cigna and Company Express Scripts,NONE
"$CI $ESRX:

Health insurer Cigna set to buy Express Scripts: WSJ:

https://t.co/df9P9oZZog",The merge of Company Cigna and Company Express Scripts,FAVOR
Workers at Ferguson Brewing Company tell me a lot of the workers at Express Scripts come here for lunch and they ho… https://t.co/mqzXM3AQ7s,The merge of Company Cigna and Company Express Scripts,NONE
Cigna Corporation and Express Scripts Holding Company today announced that they have entered into a definitive agre… https://t.co/xb6flomd5z,The merge of Company Cigna and Company Express Scripts,FAVOR
Cigna to acquire Express Scripts for $67 billion https://t.co/xpsqzqm1hn via @HC_Finance,The merge of Company Cigna and Company Express Scripts,FAVOR
"@DButterfieldRPh If this shit is fine with @FTC, then @ExpressScripts will merge with @Walgreens and more of this… https://t.co/tuYkKRFzsv",The merge of Company Cigna and Company Express Scripts,NONE
Express Scripts to acquire South Carolina-based eviCore for $3.6 billion https://t.co/CqMfnvFh5O,The merge of Company Cigna and Company Express Scripts,NONE
"It's not just an acquisition. It's a wholesale expansion, @Cigna CEO David Cordani tells @JimCramer https://t.co/ENuckapwwi",The merge of Company Cigna and Company Express Scripts,NONE
Example of @r2guidance forecast that #healthplans would be keen to acquire #healthapps note that @ExpressScripts al… https://t.co/ntERsfkEQO,The merge of Company Cigna and Company Express Scripts,NONE
"@Slotter In stages case, the hospital doesn’t have an agreement that Cigna will pay its prices so they won’t accept them.",The merge of Company Cigna and Company Express Scripts,NONE
"$CATS stocks jumps +8.82% after company announces agreement with $CI for #OnTrak solution, #Catasys https://t.co/l5ZnlZaEcY",The merge of Company Cigna and Company Express Scripts,NONE
Cigna will acquire Express Scripts in a cash and stock transaction valued at approximately $ 67billion… https://t.co/mfOdrBKI7D,The merge of Company Cigna and Company Express Scripts,FAVOR
"$CI $ESRX $COST:

Kroger’s Guidance Not Looking Too Fresh:

https://t.co/rtAMXHsQ7I",The merge of Company Cigna and Company Express Scripts,NONE
Interesting listening to Express Scripts call as they discuss eviCore acquisition - apparently this helps them ‘serve patients’ better!,The merge of Company Cigna and Company Express Scripts,NONE
We are so excited to announce our new insurance agreement with Cigna Healthcare and Accel at Golden Ridge. Take a l… https://t.co/Eu6FbDMjYg,The merge of Company Cigna and Company Express Scripts,NONE
Cigna Corp. announces acquisition of Zurich Insurance Middle East https://t.co/wzStIGhVEt https://t.co/CTEtssAl20,The merge of Company Cigna and Company Express Scripts,NONE
"In this week's #HealthTech round up @Cigna rolled out its ""Answers by Cigna"" integration into @amazonecho, there's… https://t.co/OFyq8nvvr8",The merge of Company Cigna and Company Express Scripts,NONE
Cigna to buy Express Scripts in $67B deal https://t.co/35r9VAlLfm via @FierceHealth https://t.co/3PhrhU07HM,The merge of Company Cigna and Company Express Scripts,FAVOR
"$ESRX $CI $CVS $AET:

Here’s What Could End the Rally in https://t.co/IK2xVn0b4B, Inc. Stock:

https://t.co/4O9jBR8fMs",The merge of Company Cigna and Company Express Scripts,NONE
Cigna Reportedly Nearing Blockbuster Bid for Express Scripts https://t.co/X56eeYwWpP via @BrianSozzi @nolter,The merge of Company Cigna and Company Express Scripts,FAVOR
Express Scripts Closes Acquisition Of eviCore; Companies Unite To Improve Healthcare For 100 Million Americans - PR… https://t.co/Q5gfwMEk4W,The merge of Company Cigna and Company Express Scripts,NONE
