Tweet,Target 1,Stance 1
$CI (Cigna) shareholders don't seem too excited about the $ESRX (Express Scripts) acquisition.,The merger of Cigna and Express Scripts,AGAINST
American Antitrust Institute Argues Against CVS/Aetna and Cigna/Express Scripts Deals | Healthcare Analytics News… https://t.co/1amNuWwO9N,The merger of Cigna and Express Scripts,AGAINST
"Why DOJ must block the Cigna-Express Scripts merger. @thehill OpEd https://t.co/Yo4XYlGoJK ""If one message is becom… https://t.co/EYN2w0tumJ",The merger of Cigna and Express Scripts,AGAINST
More major merger drama: there's a lot of noise around regulatory concern of Express Scripts deal. Is AT&amp;T's acquis… https://t.co/uoTQGfxtvw,The merger of Cigna and Express Scripts,AGAINST
PSSNY Opposes Cigna-Express Scripts Merger and Resulting Increased Market Concentration #SaveCommunityPharmacy  https://t.co/yQyB9hU86z,The merger of Cigna and Express Scripts,AGAINST
Trending News Today: Cigna-Express Scripts Merger Faces Antitrust Uncertainty - Specialty Pharmacy Times https://t.co/pC12y9jWea,The merger of Cigna and Express Scripts,AGAINST
"But will the deals go through? Better Buy: CVS Health Corporation vs. Express Scripts @themotleyfool #stocks $AET,… https://t.co/SwvTbtGZiX",The merger of Cigna and Express Scripts,AGAINST
"RT axios ""The DOJ has asked Cigna and Express Scripts to turn over more documents in its review of the proposed $52… https://t.co/tjCmLID6aU",The merger of Cigna and Express Scripts,AGAINST
"At this rate, I am not confident $CI can even get the shareholder vote for the $ESRX deal.  Wouldn't be surprised t… https://t.co/sidM3w7KSN",The merger of Cigna and Express Scripts,AGAINST
Cigna-Express Scripts deal to face DOJ review https://t.co/1WdxPWi2sE https://t.co/uAzH4g0Kxf,The merger of Cigna and Express Scripts,AGAINST
"@IngrahamAngle @realDonaldTrump He needs to block @cvshealth acquisition of @Aetna, and @Cigna acquisition of… https://t.co/wN2XPEAZvh",The merger of Cigna and Express Scripts,AGAINST
Justice Department to Review Cigna’s Bid to Buy Express Scripts https://t.co/wz2KDPh4cp,The merger of Cigna and Express Scripts,AGAINST
DOJ to Review $50 Billion Cigna-Express Scripts Merger https://t.co/SRwXrFlaW7 #Infowars,The merger of Cigna and Express Scripts,AGAINST
"Cigna, Express Scripts meet federal scrutiny - Axios https://t.co/x5BLxvCWgo",The merger of Cigna and Express Scripts,AGAINST
"Anthem's Cigna takeover bid blocked by federal judge

A federal judge has blocked Anthem's attempt to acquire Cigna… https://t.co/W8mVhRIElw",The merger of Cigna and Express Scripts,AGAINST
The lawsuit arose last year after Anthem last year refused to pay a breakup fee to Cigna following its aborted merg… https://t.co/99bpbWpEoM,The merger of Cigna and Express Scripts,AGAINST
#MissouriMinute: House approves tax cut plan; Cigna-Express Scripts deal to face Justice Department.… https://t.co/xPhOgD4IGq,The merger of Cigna and Express Scripts,AGAINST
Why DOJ must block the Cigna-Express Scripts merger https://t.co/hqc4pTbrtF great article citing PBM’s for increase… https://t.co/xQ4vAIwlUH,The merger of Cigna and Express Scripts,AGAINST
"TIME TO ACT TO BLOCK THIS, HERE'S WHY: Why DOJ must block the Cigna-Express Scripts merger https://t.co/SFuNnsdsRJ",The merger of Cigna and Express Scripts,AGAINST
DOJ taking a closer look at Cigna-Express Scripts merger | FierceHealthcare... https://t.co/5wcN8eADXc,The merger of Cigna and Express Scripts,AGAINST
"Cigna-Express Scripts deal needs oversight in Congress, Democrat says. Via Modern Healthcare https://t.co/RGheFS1lzq",The merger of Cigna and Express Scripts,AGAINST
Here's our update on the $CI $ESRX deal featuring a healthy dose of skepticism: https://t.co/sC22XwDKQv @MHShelbyL @modrnhealthcr,The merger of Cigna and Express Scripts,AGAINST
Yes! @DavidABalto   Why DOJ must block the Cigna-Express Scripts merger https://t.co/1O7L8uXTME,The merger of Cigna and Express Scripts,AGAINST
"$CI $ESRX $ANTM:

Why Bernstein is Skeptical Of Cigna’s Move to Buy Express Scripts:

https://t.co/zmPjPyAfEq",The merger of Cigna and Express Scripts,AGAINST
"Department of Justice Will Take Up Cigna-Express Scripts Merger https://t.co/5sRGafQ5oJ

#DataScience… https://t.co/H5rwq6a74x",The merger of Cigna and Express Scripts,AGAINST
"RT @TedOkonCOA: Why DOJ must block the Cigna-Express Scripts merger. @thehill OpEd https://t.co/gmRiAGTICn ""If one… https://t.co/bVzvxXd7Cy",The merger of Cigna and Express Scripts,AGAINST
"Cigna, Express Scripts To Face Tough Antitrust Review - Cigna’s $67 billion purchase of Express Scripts is set to f… https://t.co/VL89yIlaYN",The merger of Cigna and Express Scripts,AGAINST
The U.S. Justice Department is  seeking more information in the Cigna-Express Scripts deal. https://t.co/Wbce8d5V3z https://t.co/FtIXjdJTdb,The merger of Cigna and Express Scripts,AGAINST
Trending News Today: Cigna-Express Scripts Merger Faces Antitrust Uncertainty https://t.co/KzjNbN8nQf,The merger of Cigna and Express Scripts,AGAINST
"Cigna, Express Scripts to face tough antitrust review in a deal that historically may have just sailed through https://t.co/ZYEWXJbKzy",The merger of Cigna and Express Scripts,AGAINST
Amazon's entry into health care may have just narrowed with the Cigna-Express Scripts deal https://t.co/n5IRwWVEBE #healthcare,The merger of Cigna and Express Scripts,AGAINST
"Somebody calling out the DOJ? ""Why DOJ must block the Cigna-Express Scripts merger"" https://t.co/4AFAKBGziD",The merger of Cigna and Express Scripts,AGAINST
"Carl Icahn is mounting a campaign to oppose Cigna-Express Scripts (h/t @CaraRLombardo, @DanaMattioli). Combined wit… https://t.co/BdZylBUX62",The merger of Cigna and Express Scripts,AGAINST
Carl Icahn to Publicly Oppose $54 Billion Cigna-Express Scripts Deal https://t.co/BypR7aMQI0 https://t.co/f1YffY0cZ0,The merger of Cigna and Express Scripts,AGAINST
Express Scripts stock plunges on report that Carl Icahn wants to block Cigna merger - CNNMoney https://t.co/QuINqZuFF5,The merger of Cigna and Express Scripts,AGAINST
Cigna-Express Scripts Deal to Face Justice Department Review https://t.co/1jUKETJYNb https://t.co/d8u26jcMvT,The merger of Cigna and Express Scripts,AGAINST
Icahn Drops Fight to Block Cigna's Takeover of Express Scripts ⁦@BloombergDeals⁩ https://t.co/DCHM44w271,The merger of Cigna and Express Scripts,AGAINST
Carl Icahn urged Cigna shareholders to reject the health insurer's attempted multi-billion dollar takeover of Expre… https://t.co/2KGOVvmDKr,The merger of Cigna and Express Scripts,AGAINST
"$CI $ESRX $AMZN:
 
 The Wall Street Journal: Carl Icahn to go public with his opposition to Cigna-Express Scripts mer… https://t.co/KdBBIfGAwM",The merger of Cigna and Express Scripts,AGAINST
Carl Icahn urges Cigna investors to block $80 billion Express Scripts deal https://t.co/JEZDvMhi29,The merger of Cigna and Express Scripts,AGAINST
"Axios: Carl Icahn wants to block Cigna-Express Scripts merger.
 https://t.co/FmLmR9yuKt
 
 via @GoogleNews",The merger of Cigna and Express Scripts,AGAINST
$ESRX hit with news that board member is going to vote against acquisition,The merger of Cigna and Express Scripts,AGAINST
STAT Plus Pharmalittle Icahn dealt setbacks in bid to derail Cigna deal for Express Scripts; Pfizer suit against J&amp;… https://t.co/5w0Xyw0YKa,The merger of Cigna and Express Scripts,AGAINST
Carl Icahn to go public with his opposition to Cigna-Express Scripts merger https://t.co/T4oU6W2CMM,The merger of Cigna and Express Scripts,AGAINST
"RT TFTCS ""Icahn To Attempt To Block Cigna-Express Scripts Deal With Recent Stake https://t.co/PMWQH2FGJY https://t.co/69lCRTO2vn""",The merger of Cigna and Express Scripts,AGAINST
Express Scripts stock plunges on report that Carl Icahn wants to block Cigna merger #latest news https://t.co/QeKdLgwcXU,The merger of Cigna and Express Scripts,AGAINST
"Carl Icahn Has Sizable Stake in Cigna, Plans to Vote Against Express Scripts Deal
 Activist investor likely to urge… https://t.co/OQox6LbtK0",The merger of Cigna and Express Scripts,AGAINST
Billionaire activist investor @Carl_C_Icahn urged @Cigna stockholders to oppose the acquisition of St. Louis County… https://t.co/jRwvF0GJju,The merger of Cigna and Express Scripts,AGAINST
"Icahn, with sizable stake in Cigna, to oppose Express Scripts acquisition: WSJ https://t.co/26lIOdjlUC https://t.co/v5yuiUQtya",The merger of Cigna and Express Scripts,AGAINST
$CVS Senate Judiciary Committee Chairman Chuck Grassley (R-IA) wants antitrust reviews of Cigna/Express Scripts M&amp;… https://t.co/p5INHgH42B,The merger of Cigna and Express Scripts,AGAINST
"DOJ nearing antitrust approval of health mergers combining CVS-Aetna, Cigna-Express Scripts https://t.co/Gk4raKkm2V",The merger of Cigna and Express Scripts,AGAINST
"Cigna board slams investor’s opposition to Express Scripts merger
 ""It is not clear that Mr. Icahn even believes his… https://t.co/2MieQChUri",The merger of Cigna and Express Scripts,AGAINST
"$CI $ESRX $AMZN:
 
 Carl Icahn Attacks ‘Cigna’s $60 Billion Folly’, Urges Rejection of Scripts Deal:
 
 https://t.co/9J9NzNZ4th",The merger of Cigna and Express Scripts,AGAINST
"Express Scripts and Cigna are trading higher after Carl Icahn came out against their merger
 https://t.co/HJD47cPBgv",The merger of Cigna and Express Scripts,AGAINST
"$CI Carl Icahn has sizable stake in Cigna, plans to vote against Express Scripts deal - Dow Jones -- CNBC",The merger of Cigna and Express Scripts,AGAINST
"Hearing Icahn Has A Sizable Stake In Cigna, Plans To Vote Against Express Scripts Deal; Icahn Is Likely To Urge Oth… https://t.co/7FpwSAjNFe",The merger of Cigna and Express Scripts,AGAINST
Carl Icahn to go public with his opposition to Cigna-Express Scripts merger https://t.co/fxI3WAqIFK,The merger of Cigna and Express Scripts,AGAINST
"UPDATE 1-Icahn ratchets up pressure against Cigna-Express Scripts deal | Activist investor Carl Icahn fired the
 lat… https://t.co/jiZTNYHkh6",The merger of Cigna and Express Scripts,AGAINST
"Activist investor Carl Icahn sends open letter urging Cigna shareholders to vote against the Express Scripts deal,… https://t.co/wEWJD3lXbJ",The merger of Cigna and Express Scripts,AGAINST
"#AetnaHealthInsurance, #FreeCarInsuranceQuotes Department of Justice Will Take Up Cigna-Express Scripts Merger… https://t.co/tauY6Ms4WX",The merger of Cigna and Express Scripts,AGAINST
ICYMI: #biotechnology #biotechnology STAT Plus Pharmalittle Icahn calls Cigna deal for Express Scripts ridiculous;… https://t.co/Jh9UGIFyop,The merger of Cigna and Express Scripts,AGAINST
"US: Icahn voices opposition to US$54b Cigna-Express Scripts deal
 https://t.co/e5lvjNtZJE",The merger of Cigna and Express Scripts,AGAINST
Express Scripts stock plunges on report that Carl Icahn wants to block Cigna merger https://t.co/w8MLZq6YMB #entrepreneur #money #WAHM,The merger of Cigna and Express Scripts,AGAINST
Carl Icahn urges investors to vote down #Cigna-Express Scripts merger https://t.co/4yutJwKrSx,The merger of Cigna and Express Scripts,AGAINST
Carl Icahn has built a sizable stake in Cigna and plans to oppose its $54B deal to buy Express Scripts -- scoop com… https://t.co/ugE0DpwDhZ,The merger of Cigna and Express Scripts,AGAINST
Carl Icahn does not want Cigna to buy Express Scripts. I'll explain why with @richardquest on @cnni around 12:10 ET. $CI $ESRX,The merger of Cigna and Express Scripts,AGAINST
Carl Icahn voices opposition to $54 billion Cigna-Express Scripts deal. https://t.co/k7r1Aqt0x5,The merger of Cigna and Express Scripts,AGAINST
Icahn isn't a fan of Cigna's $54B deal with Express Scripts https://t.co/Yh1ABYPZjv https://t.co/U4rjNcvBQe,The merger of Cigna and Express Scripts,AGAINST
Carl Icahn has strong words for $CI investors thinking about voting for the takeover of #PBM $ESRX. My @apbusiness… https://t.co/NmIAtlBvoV,The merger of Cigna and Express Scripts,AGAINST
Carl Icahn has built a sizable stake in Cigna and plans to vote against the health insurer's $54 billion purchase o… https://t.co/tuUUy95T60,The merger of Cigna and Express Scripts,AGAINST
Icahn warns Cigna investors on Express Scripts deal: Carl Icahn is urging Cigna shareholders to reject the health i… https://t.co/6GhW0Nm2Gd,The merger of Cigna and Express Scripts,AGAINST
Thursday August 2 - WSJ The 10 Point: Trade Ripples; Carl Icahn opposes the Cigna-Express Scripts deal Via… https://t.co/E9jiYGeqls,The merger of Cigna and Express Scripts,AGAINST
Carl Icahn voices opposition to $54 billion Cigna-Express Scripts deal https://t.co/k7r1Aqt0x5,The merger of Cigna and Express Scripts,AGAINST
Express Scripts stock plunges on report that Carl Icahn wants to block Cigna merger https://t.co/VFqio95yhc via @CNNMoney,The merger of Cigna and Express Scripts,AGAINST
Carl Icahn has a stake in Cigna: Sources Carl Icahn has a stake in Cigna and may oppose its deal to acquire pharmac… https://t.co/tAwwUaVbi4,The merger of Cigna and Express Scripts,AGAINST
$CI $ESRX $EXPR Icahn to send letter to oppose Cigna-Express Scripts deal: WSJ https://t.co/DqSgwZEcRH,The merger of Cigna and Express Scripts,AGAINST
"Carl Icahn is seeking to block the $67 billion merger between Cigna and Express Scripts
 https://t.co/SjJTMvTfpg",The merger of Cigna and Express Scripts,AGAINST
"Great scoop by WSJ colleagues: Carl Icahn has sizable stake in Cigna, plans to vote against Express Scripts deal… https://t.co/D6ctgmRu3c",The merger of Cigna and Express Scripts,AGAINST
$CI - Carl Icahn to Publicly Oppose $54 Billion Cigna-Express Scripts Deal https://t.co/rj8eJT5Cu1,The merger of Cigna and Express Scripts,AGAINST
Icahn Opposes Cigna-Express Scripts Deal Citing Amazon And 'Flawed' PBM Rebates https://t.co/YRQYG364uh,The merger of Cigna and Express Scripts,AGAINST
$AMZN $CI $ESRX $EXPR Icahn urges Cigna shareholders to vote against Express Scripts deal https://t.co/me5fFL5nHB,The merger of Cigna and Express Scripts,AGAINST
"Carl Icahn Has Sizable Stake in Cigna, Plans to Vote Against Express Scripts Deal https://t.co/vmwHWVn4eQ",The merger of Cigna and Express Scripts,AGAINST
"📣 Icahn urges Cigna shareholders to vote against Express Scripts deal https://t.co/khTaDT4IWv
 
 🗞️ First Published… https://t.co/obLqRGcltF",The merger of Cigna and Express Scripts,AGAINST
"Carl Icahn Opposes Cigna-Express Scripts Deal, Citing Amazon And 'Flawed Rebates' via @forbes https://t.co/7C8tu5mB8u $CI $ESRX $AMZN",The merger of Cigna and Express Scripts,AGAINST
Activist investor Carl Icahn has asked @Cigna shareholders to block the company's $54 billion planned acquisition o… https://t.co/CqRt7BdQ7Y,The merger of Cigna and Express Scripts,AGAINST
Icahn isn't a fan of Cigna's $54B deal with Express Scripts https://t.co/tNN4EFSAbi https://t.co/tcW4ZkuhDA,The merger of Cigna and Express Scripts,AGAINST
Health care mergers in doubt as Amazon looms large: CVS- Aetna and Cigna-Express Scripts: The fates of two giant he… https://t.co/OBASkxlSrO,The merger of Cigna and Express Scripts,AGAINST
"Icahn, with sizable stake in Cigna, to oppose Express Scripts acquisition - WSJ https://t.co/MrxlqcVQ4i",The merger of Cigna and Express Scripts,AGAINST
Pharmalot.. Pharmalittle.. Good Morning.. Icahn tells Cigna shareholders the deal for Express Scripts is 'ridiculou… https://t.co/HZ2S6zTDnu,The merger of Cigna and Express Scripts,AGAINST
"Carl Icahn calls Cigna-Express Scripts merger a ""travesty""
 https://t.co/2x2c6kh2bx",The merger of Cigna and Express Scripts,AGAINST
Carl Icahn wants to block Cigna-Express Scripts merger https://t.co/RPdCdyAlYt,The merger of Cigna and Express Scripts,AGAINST
"Icahn Opposes Cigna-Express Scripts Deal, Citing Amazon And 'Flawed' PBM Rebates via @forbes https://t.co/J1vPBFV32F",The merger of Cigna and Express Scripts,AGAINST
